BOLSIG+ script file: ex.dat
READCOLLISIONS
Surge
LXCat.txt
C1    Surge    Elastic                                          
RUNSERIES
R537  0.482 Td    9.11 eV                                       
R538  0.487 Td    9.12 eV                                       
R539  0.493 Td    9.12 eV                                       
R540  0.499 Td    9.13 eV                                       
R541  0.504 Td    9.14 eV                                       
R542  0.510 Td    9.15 eV                                       
R543  0.516 Td    9.16 eV                                       
R544  0.522 Td    9.17 eV                                       
R545  0.528 Td    9.18 eV                                       
R546  0.534 Td    9.19 eV                                       
R547  0.540 Td    9.20 eV                                       
R548  0.547 Td    9.21 eV                                       
R549  0.553 Td    9.22 eV                                       
R550  0.559 Td    9.23 eV                                       
R551  0.566 Td    9.23 eV                                       
R552  0.572 Td    9.24 eV                                       
R553  0.579 Td    9.25 eV                                       
R554  0.586 Td    9.26 eV                                       
R555  0.593 Td    9.27 eV                                       
R556  0.599 Td    9.28 eV                                       
R557  0.606 Td    9.29 eV                                       
R558  0.613 Td    9.30 eV                                       
R559  0.621 Td    9.31 eV                                       
R560  0.628 Td    9.32 eV                                       
R561  0.635 Td    9.33 eV                                       
R562  0.642 Td    9.34 eV                                       
R563  0.650 Td    9.35 eV                                       
R564  0.657 Td    9.36 eV                                       
R565  0.665 Td    9.37 eV                                       
R566  0.673 Td    9.38 eV                                       
R567  0.681 Td    9.39 eV                                       
R568  0.688 Td    9.40 eV                                       
R569  0.696 Td    9.41 eV                                       
R570  0.704 Td    9.42 eV                                       
R571  0.713 Td    9.43 eV                                       
R572  0.721 Td    9.44 eV                                       
R573  0.729 Td    9.45 eV                                       
R574  0.738 Td    9.46 eV                                       
R575  0.746 Td    9.47 eV                                       
R576  0.755 Td    9.48 eV                                       
R577  0.764 Td    9.49 eV                                       
R578  0.772 Td    9.50 eV                                       
R579  0.781 Td    9.51 eV                                       
R580  0.790 Td    9.52 eV                                       
R581  0.800 Td    9.53 eV                                       
R582  0.809 Td    9.54 eV                                       
R583  0.818 Td    9.55 eV                                       
R584  0.828 Td    9.57 eV                                       
R585  0.837 Td    9.57 eV                                       
R586  0.847 Td    9.59 eV                                       
R587  0.857 Td    9.60 eV                                       
R588  0.867 Td    9.61 eV                                       
R589  0.877 Td    9.62 eV                                       
R590  0.887 Td    9.63 eV                                       
R591  0.897 Td    9.64 eV                                       
R592  0.908 Td    9.65 eV                                       
R593  0.918 Td    9.67 eV                                       
R594  0.929 Td    9.68 eV                                       
R595  0.940 Td    9.69 eV                                       
R596  0.951 Td    9.70 eV                                       
R597  0.962 Td    9.71 eV                                       
R598  0.973 Td    9.72 eV                                       
R599  0.984 Td    9.74 eV                                       
R600  0.995 Td    9.75 eV                                       
R601  1.01 Td    9.76 eV                                        
R602  1.02 Td    9.77 eV                                        
R603  1.03 Td    9.79 eV                                        
R604  1.04 Td    9.80 eV                                        
R605  1.05 Td    9.81 eV                                        
R606  1.07 Td    9.82 eV                                        
R607  1.08 Td    9.84 eV                                        
R608  1.09 Td    9.85 eV                                        
R609  1.10 Td    9.86 eV                                        
R610  1.12 Td    9.88 eV                                        
R611  1.13 Td    9.89 eV                                        
R612  1.14 Td    9.90 eV                                        
R613  1.16 Td    9.92 eV                                        
R614  1.17 Td    9.93 eV                                        
R615  1.18 Td    9.94 eV                                        
R616  1.20 Td    9.96 eV                                        
R617  1.21 Td    9.97 eV                                        
R618  1.22 Td    9.99 eV                                        
R619  1.24 Td    10.0 eV                                        
R620  1.25 Td    10.0 eV                                        
R621  1.27 Td    10.0 eV                                        
