BOLSIG+ script file: ex.dat
READCOLLISIONS
Surge
LXCat.txt
C1    Surge    Elastic                                          
RUNSERIES
R538  1.68 Td    39.3 eV                                        
R539  1.70 Td    39.5 eV                                        
R540  1.73 Td    39.7 eV                                        
R541  1.75 Td    39.9 eV                                        
R542  1.78 Td    40.1 eV                                        
R543  1.80 Td    40.2 eV                                        
R544  1.82 Td    40.4 eV                                        
R545  1.85 Td    40.6 eV                                        
R546  1.88 Td    40.8 eV                                        
R547  1.90 Td    41.0 eV                                        
R548  1.93 Td    41.2 eV                                        
R549  1.96 Td    41.4 eV                                        
R550  1.98 Td    41.6 eV                                        
R551  2.01 Td    41.7 eV                                        
R552  2.04 Td    41.9 eV                                        
R553  2.07 Td    42.1 eV                                        
R554  2.10 Td    42.3 eV                                        
R555  2.12 Td    42.5 eV                                        
R556  2.15 Td    42.7 eV                                        
R557  2.18 Td    42.9 eV                                        
R558  2.21 Td    43.1 eV                                        
R559  2.25 Td    43.3 eV                                        
R560  2.28 Td    43.5 eV                                        
R561  2.31 Td    43.7 eV                                        
R562  2.34 Td    43.9 eV                                        
R563  2.37 Td    44.1 eV                                        
R564  2.41 Td    44.3 eV                                        
R565  2.44 Td    44.5 eV                                        
R566  2.47 Td    44.7 eV                                        
R567  2.51 Td    44.9 eV                                        
R568  2.54 Td    45.1 eV                                        
R569  2.58 Td    45.4 eV                                        
R570  2.61 Td    45.6 eV                                        
R571  2.65 Td    45.8 eV                                        
R572  2.69 Td    46.0 eV                                        
R573  2.73 Td    46.2 eV                                        
R574  2.76 Td    46.4 eV                                        
R575  2.80 Td    46.6 eV                                        
R576  2.84 Td    46.9 eV                                        
R577  2.88 Td    47.1 eV                                        
R578  2.92 Td    47.3 eV                                        
R579  2.96 Td    47.5 eV                                        
R580  3.00 Td    47.8 eV                                        
R581  3.04 Td    48.0 eV                                        
R582  3.09 Td    48.2 eV                                        
R583  3.13 Td    48.4 eV                                        
R584  3.17 Td    48.7 eV                                        
R585  3.22 Td    48.9 eV                                        
R586  3.26 Td    49.1 eV                                        
R587  3.31 Td    49.4 eV                                        
R588  3.35 Td    49.6 eV                                        
R589  3.40 Td    49.8 eV                                        
R590  3.45 Td    50.1 eV                                        
R591  3.50 Td    50.3 eV                                        
R592  3.54 Td    50.6 eV                                        
R593  3.59 Td    50.8 eV                                        
R594  3.64 Td    51.0 eV                                        
R595  3.69 Td    51.3 eV                                        
R596  3.75 Td    51.5 eV                                        
R597  3.80 Td    51.8 eV                                        
R598  3.85 Td    52.0 eV                                        
R599  3.90 Td    52.3 eV                                        
R600  3.96 Td    52.5 eV                                        
R601  4.01 Td    52.8 eV                                        
R602  4.07 Td    53.0 eV                                        
R603  4.13 Td    53.3 eV                                        
R604  4.18 Td    53.6 eV                                        
R605  4.24 Td    53.8 eV                                        
R606  4.30 Td    54.1 eV                                        
R607  4.36 Td    54.4 eV                                        
R608  4.42 Td    54.6 eV                                        
R609  4.48 Td    54.9 eV                                        
R610  4.55 Td    55.2 eV                                        
R611  4.61 Td    55.4 eV                                        
R612  4.67 Td    55.7 eV                                        
R613  4.74 Td    56.0 eV                                        
R614  4.80 Td    56.3 eV                                        
R615  4.87 Td    56.5 eV                                        
R616  4.94 Td    56.8 eV                                        
R617  5.01 Td    57.1 eV                                        
R618  5.08 Td    57.4 eV                                        
R619  5.15 Td    57.7 eV                                        
R620  5.22 Td    57.9 eV                                        
R621  5.29 Td    58.2 eV                                        
R622  5.37 Td    58.5 eV                                        
R623  5.44 Td    58.8 eV                                        
R624  5.52 Td    59.1 eV                                        
R625  5.59 Td    59.4 eV                                        
R626  5.67 Td    59.7 eV                                        
R627  5.75 Td    60.0 eV                                        
R628  5.83 Td    60.3 eV                                        
R629  5.91 Td    60.6 eV                                        
R630  5.99 Td    60.9 eV                                        
R631  6.08 Td    61.2 eV                                        
R632  6.16 Td    61.5 eV                                        
R633  6.25 Td    61.9 eV                                        
R634  6.34 Td    62.2 eV                                        
R635  6.42 Td    62.5 eV                                        
R636  6.51 Td    62.8 eV                                        
R637  6.60 Td    63.1 eV                                        
R638  6.70 Td    63.5 eV                                        
R639  6.79 Td    63.8 eV                                        
R640  6.88 Td    64.1 eV                                        
R641  6.98 Td    64.4 eV                                        
R642  7.08 Td    64.8 eV                                        
R643  7.18 Td    65.1 eV                                        
R644  7.28 Td    65.5 eV                                        
R645  7.38 Td    65.8 eV                                        
R646  7.48 Td    66.1 eV                                        
R647  7.58 Td    66.5 eV                                        
R648  7.69 Td    66.8 eV                                        
R649  7.80 Td    67.2 eV                                        
R650  7.90 Td    67.5 eV                                        
R651  8.02 Td    67.9 eV                                        
R652  8.13 Td    68.2 eV                                        
R653  8.24 Td    68.6 eV                                        
R654  8.35 Td    69.0 eV                                        
R655  8.47 Td    69.3 eV                                        
R656  8.59 Td    69.7 eV                                        
R657  8.71 Td    70.1 eV                                        
R658  8.83 Td    70.4 eV                                        
R659  8.95 Td    70.8 eV                                        
R660  9.08 Td    71.2 eV                                        
R661  9.20 Td    71.6 eV                                        
R662  9.33 Td    72.0 eV                                        
R663  9.46 Td    72.3 eV                                        
R664  9.59 Td    72.7 eV                                        
R665  9.73 Td    73.1 eV                                        
R666  9.86 Td    73.5 eV                                        
R667  10.0 Td    73.9 eV                                        
